"STD_NAME","FILTER","POLICY_NAME"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_CPU_Busy_STEADY_M"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_CPU_Busy_STEADY_W"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_CPU_WaitIO_W"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Disk_IORESPR_UsedPct_M"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Disk_IORESPR_UsedPct_W"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Disk_IORESPW_UsedPct_M"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Disk_IORESPW_UsedPct_W"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_FileSystems_Read_M"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_FileSystems_Write_M"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_FS_UsedPct_STEADY_C"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_FS_UsedPct_STEADY_M"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Inodes_UsedPct_M"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Inodes_UsedPct_W"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Login_Failure_W"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Mem_UsedPct_STEADY_C"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Mem_UsedPct_STEADY_M"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Mem_UsedPct_STEADY_W"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_NET_TCP_COUNT_M"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_NET_TCP_STATUS_M"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_NET_TCP_STATUS_W"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_POWER_PATH_M"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Swap_UsedPct_C"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Swap_UsedPct_M"
"LINUX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Swap_UsedPct_W"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Check_HardPct_C"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Check_HardPct_M"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Check_HardPct_W"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Check_SysPct_C"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Check_SysPct_M"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Check_SysPct_W"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_CPU_Busy_SHAKE_W"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_CPU_WaitIO_W"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Disk_IORESPR_UsedPct_M"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Disk_IORESPR_UsedPct_W"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Disk_IORESPW_UsedPct_M"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Disk_IORESPW_UsedPct_W"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_FileSystems_Read_M"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_FileSystems_Write_M"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_FS_UsedPct_SHAKE_C"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_FS_UsedPct_SHAKE_M"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Inodes_UsedPct_M"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Inodes_UsedPct_W"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Login_Failure_W"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Mem_UsedPct_SHAKE_C"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Mem_UsedPct_SHAKE_M"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Mem_UsedPct_SHAKE_W"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_NET_TCP_COUNT_M"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_NET_TCP_STATUS_M"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_NET_TCP_STATUS_W"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_PageIn_Num_W"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_PageOut_Num_W"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_POWER_PATH_M"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Swap_UsedPct_C"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Swap_UsedPct_M"
"LINUX OS ITM监控标准(震荡型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE in('AIX','SUSE','REDHAT','CENTOS') and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE ='UNSTEADY');MO_TYPE=LINUX_OS","CEB_LZ_Swap_UsedPct_W"
"AIX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE = 'AIX' and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=AIX_OS","CEB_AIX_CPU_Busy_STEADY_C"
"AIX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE = 'AIX' and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=AIX_OS","CEB_AIX_CPU_Busy_STEADY_M"
"AIX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE = 'AIX' and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=AIX_OS","CEB_AIX_CPU_Busy_STEADY_W"
"AIX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE = 'AIX' and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=AIX_OS","CEB_AIX_CRONLOG_ERR_C"
"AIX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE = 'AIX' and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=AIX_OS","CEB_AIX_Disk_IORESP_UsedPct_M"
"AIX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE = 'AIX' and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=AIX_OS","CEB_AIX_Disk_IORESP_UsedPct_W"
"AIX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE = 'AIX' and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=AIX_OS","CEB_AIX_Disk_IO_UsedPct_M"
"AIX OS ITM监控标准(平稳型)","SELECT KEYWORD,IP_ADDRESS,APP_NAME FROM ump.UMP_MO_OS where OS_TYPE = 'AIX' and APP_NAME in (SELECT affectsystem FROM ump.APP_INFO where VOLUME_TYPE !='UNSTEADY');MO_TYPE=AIX_OS","CEB_AIX_Disk_IO_UsedPct_W"
